"","VOTE16","RACE","REGION","EDUC","BIGBANG","EVOLVED","DEGREE","POSTLIFE","AGE","OWNGUN","CAPPUN","COURTS","POLVIEWS","VOTE12","GOD","WORDSUM"
"141","Did not vote","WHITE","W. NOR. CENTRAL",7,"False","False","BACHELOR","YES",68,"YES","OPPOSE","NOT HARSH ENOUGH","MODERATE","no in 12","BELIEVE BUT DOUBTS",10
"142","Voted","WHITE","W. NOR. CENTRAL",5,"False","False","HIGH SCHOOL","YES",60,"NO","FAVOR","NOT HARSH ENOUGH","CONSERVATIVE","voted12","KNOW GOD EXISTS",11
"143","Voted","WHITE","W. SOU. CENTRAL",6,"True","True","HIGH SCHOOL","YES",53,"NO","OPPOSE","NOT HARSH ENOUGH","CONSERVATIVE","voted12","KNOW GOD EXISTS",9
"144","Voted","WHITE","W. SOU. CENTRAL",3,"False","False","HIGH SCHOOL","YES",11,"NO","FAVOR","NOT HARSH ENOUGH","MODERATE","no in 12","BELIEVE BUT DOUBTS",7
"145","Did not vote","OTHER","W. SOU. CENTRAL",6,"True","False","BACHELOR","NO",32,"YES","FAVOR","NOT HARSH ENOUGH","CONSERVATIVE","voted12","KNOW GOD EXISTS",7
"146","Did not vote","WHITE","W. SOU. CENTRAL",5,"False","True","HIGH SCHOOL","YES",37,"NO","OPPOSE","TOO HARSH","MODERATE","no in 12","BELIEVE SOMETIMES",3
"147","Did not vote","WHITE","W. SOU. CENTRAL",5,"False","False","HIGH SCHOOL","YES",16,"YES","FAVOR","NOT HARSH ENOUGH","MODERATE","no in 12","KNOW GOD EXISTS",7
"148","Did not vote","OTHER","W. SOU. CENTRAL",6,"False","False","HIGH SCHOOL","YES",32,"NO","FAVOR","NOT HARSH ENOUGH","SLGHTLY CONSERVATIVE","no in 12","KNOW GOD EXISTS",9
"149","Did not vote","BLACK","W. SOU. CENTRAL",8,"False","True","HIGH SCHOOL","YES",16,"NO","OPPOSE","TOO HARSH","MODERATE","no in 12","KNOW GOD EXISTS",11
"150","Voted","WHITE","MOUNTAIN",4,"False","False","LT HIGH SCHOOL","YES",39,"YES","FAVOR","NOT HARSH ENOUGH","SLGHTLY CONSERVATIVE","voted12","BELIEVE BUT DOUBTS",7
"151","Voted","OTHER","MOUNTAIN",9,"True","True","BACHELOR","YES",54,"NO","FAVOR","NOT HARSH ENOUGH","CONSERVATIVE","voted12","KNOW GOD EXISTS",10
"152","Voted","WHITE","MOUNTAIN",11,"False","True","GRADUATE","YES",39,"YES","FAVOR","NOT HARSH ENOUGH","SLGHTLY CONSERVATIVE","voted12","KNOW GOD EXISTS",9
"153","Did not vote","WHITE","MOUNTAIN",12,"True","True","BACHELOR","YES",22,"YES","FAVOR","NOT HARSH ENOUGH","MODERATE","no in 12","BELIEVE BUT DOUBTS",12
"154","Voted","WHITE","PACIFIC",6,"True","True","HIGH SCHOOL","YES",15,"NO","FAVOR","NOT HARSH ENOUGH","MODERATE","no in 12","KNOW GOD EXISTS",8
"155","Did not vote","WHITE","PACIFIC",7,"False","False","HIGH SCHOOL","YES",34,"NO","FAVOR","NOT HARSH ENOUGH","SLIGHTLY LIBERAL","voted12","KNOW GOD EXISTS",9
"156","Voted","WHITE","PACIFIC",5,"False","False","HIGH SCHOOL","YES",53,"YES","FAVOR","NOT HARSH ENOUGH","MODERATE","voted12","KNOW GOD EXISTS",7
"157","Voted","WHITE","PACIFIC",6,"True","True","HIGH SCHOOL","YES",39,"NO","FAVOR","NOT HARSH ENOUGH","EXTREMELY LIBERAL","voted12","KNOW GOD EXISTS",5
"158","Did not vote","OTHER","PACIFIC",4,"False","False","LT HIGH SCHOOL","YES",27,"NO","FAVOR","NOT HARSH ENOUGH","CONSERVATIVE","no in 12","KNOW GOD EXISTS",8
"159","Did not vote","WHITE","PACIFIC",20,"False","False","LT HIGH SCHOOL","YES",34,"NO","OPPOSE","ABOUT RIGHT","MODERATE","no in 12","KNOW GOD EXISTS",8
"160","Voted","OTHER","PACIFIC",4,"False","False","LT HIGH SCHOOL","YES",64,"YES","FAVOR","NOT HARSH ENOUGH","EXTRMLY CONSERVATIVE","voted12","KNOW GOD EXISTS",6
"161","Voted","WHITE","PACIFIC",5,"False","True","HIGH SCHOOL","YES",32,"YES","FAVOR","NOT HARSH ENOUGH","CONSERVATIVE","voted12","KNOW GOD EXISTS",12
"162","Did not vote","WHITE","PACIFIC",8,"True","True","JUNIOR COLLEGE","YES",11,"NO","OPPOSE","NOT HARSH ENOUGH","SLIGHTLY LIBERAL","voted12","SOME HIGHER POWER",10
"163","Voted","WHITE","PACIFIC",5,"True","True","HIGH SCHOOL","YES",64,"NO","FAVOR","NOT HARSH ENOUGH","LIBERAL","voted12","KNOW GOD EXISTS",8
"164","Did not vote","WHITE","PACIFIC",5,"True","True","HIGH SCHOOL","YES",40,"YES","FAVOR","NOT HARSH ENOUGH","SLGHTLY CONSERVATIVE","no in 12","NO WAY TO FIND OUT",9
"165","Voted","WHITE","W. SOU. CENTRAL",10,"True","True","BACHELOR","NO",22,"YES","FAVOR","TOO HARSH","MODERATE","voted12","DONT BELIEVE",10
"166","Voted","WHITE","W. SOU. CENTRAL",5,"False","False","HIGH SCHOOL","YES",22,"NO","FAVOR","NOT HARSH ENOUGH","SLGHTLY CONSERVATIVE","voted12","KNOW GOD EXISTS",2
"167","Voted","WHITE","W. SOU. CENTRAL",6,"False","False","HIGH SCHOOL","YES",22,"YES","FAVOR","NOT HARSH ENOUGH","CONSERVATIVE","voted12","KNOW GOD EXISTS",9
"168","Voted","WHITE","W. SOU. CENTRAL",14,"False","False","GRADUATE","YES",21,"YES","OPPOSE","ABOUT RIGHT","LIBERAL","voted12","KNOW GOD EXISTS",10
"169","Voted","WHITE","W. NOR. CENTRAL",7,"False","False","JUNIOR COLLEGE","YES",21,"YES","FAVOR","NOT HARSH ENOUGH","CONSERVATIVE","no in 12","KNOW GOD EXISTS",9
"170","Did not vote","WHITE","W. NOR. CENTRAL",5,"True","True","HIGH SCHOOL","YES",12,"YES","FAVOR","NOT HARSH ENOUGH","MODERATE","no in 12","SOME HIGHER POWER",7
"171","Voted","WHITE","E. NOR. CENTRAL",9,"False","False","BACHELOR","YES",27,"YES","OPPOSE","NOT HARSH ENOUGH","CONSERVATIVE","voted12","BELIEVE BUT DOUBTS",11
"172","Voted","WHITE","E. NOR. CENTRAL",5,"False","False","HIGH SCHOOL","YES",30,"YES","FAVOR","NOT HARSH ENOUGH","MODERATE","voted12","BELIEVE BUT DOUBTS",8
"173","Voted","WHITE","E. NOR. CENTRAL",9,"True","True","JUNIOR COLLEGE","YES",23,"YES","FAVOR","TOO HARSH","MODERATE","voted12","KNOW GOD EXISTS",11
"174","Voted","WHITE","E. NOR. CENTRAL",20,"True","False","LT HIGH SCHOOL","YES",60,"NO","OPPOSE","NOT HARSH ENOUGH","EXTREMELY LIBERAL","voted12","SOME HIGHER POWER",3
"175","Did not vote","WHITE","E. NOR. CENTRAL",5,"False","False","HIGH SCHOOL","YES",40,"NO","OPPOSE","TOO HARSH","SLGHTLY CONSERVATIVE","no in 12","KNOW GOD EXISTS",8
"176","Did not vote","OTHER","E. SOU. CENTRAL",18,"False","False","LT HIGH SCHOOL","YES",17,"NO","OPPOSE","NOT HARSH ENOUGH","LIBERAL","no in 12","KNOW GOD EXISTS",8
"177","Voted","BLACK","SOUTH ATLANTIC",4,"False","False","HIGH SCHOOL","YES",20,"NO","OPPOSE","ABOUT RIGHT","MODERATE","voted12","KNOW GOD EXISTS",9
"178","Did not vote","BLACK","SOUTH ATLANTIC",3,"False","False","LT HIGH SCHOOL","YES",35,"YES","OPPOSE","TOO HARSH","MODERATE","no in 12","KNOW GOD EXISTS",8
